Wavelength 1,Absolute Irradiance 1,Wavelength 2,Absolute Irradiance 2,Wavelength 3,Absolute Irradiance 3
363.034,0.46,363.034,0.5,363.034,0.52
363.287,0.82,363.287,0.84,363.287,0.89
363.54,1.32,363.54,1.34,363.54,1.45
363.792,1.56,363.792,1.56,363.792,1.69
364.045,1.92,364.045,1.92,364.045,2.07
364.298,2.09,364.298,2.09,364.298,2.26
364.55,2.39,364.55,2.4,364.55,2.58
364.803,2.33,364.803,2.34,364.803,2.52
365.056,2.4,365.056,2.41,365.056,2.59
365.308,2.54,365.308,2.57,365.308,2.76
365.561,2.42,365.561,2.44,365.561,2.63
365.814,2.28,365.814,2.31,365.814,2.47
366.066,1.9,366.066,1.94,366.066,2.08
366.319,1.54,366.319,1.58,366.319,1.69
366.571,1.24,366.571,1.29,366.571,1.37
366.824,0.87,366.824,0.94,366.824,1.02
367.076,0.58,367.076,0.63,367.076,0.69
367.329,0.39,367.329,0.43,367.329,0.49
367.581,0.3,367.581,0.32,367.581,0.39
367.834,0.22,367.834,0.2,367.834,0.29
368.086,0.19,368.086,0.15,368.086,0.23
368.338,0.14,368.338,0.11,368.338,0.18
368.591,0.11,368.591,0.09,368.591,0.18
368.843,0.11,368.843,0.08,368.843,0.16
369.096,0.1,369.096,0.08,369.096,0.15
369.348,0.09,369.348,0.06,369.348,0.13
369.6,0.09,369.6,0.07,369.6,0.13
369.852,0.1,369.852,0.09,369.852,0.15
370.105,0.09,370.105,0.08,370.105,0.14
370.357,0.07,370.357,0.09,370.357,0.13
370.609,0.07,370.609,0.12,370.609,0.16
370.861,0.05,370.861,0.1,370.861,0.14
371.114,0.04,371.114,0.09,371.114,0.14
371.366,0.05,371.366,0.11,371.366,0.14
371.618,0.04,371.618,0.1,371.618,0.13
371.87,0.04,371.87,0.09,371.87,0.12
372.122,0.05,372.122,0.1,372.122,0.13
372.374,0.06,372.374,0.09,372.374,0.11
372.626,0.08,372.626,0.09,372.626,0.12
372.878,0.09,372.878,0.11,372.878,0.13
373.13,0.09,373.13,0.11,373.13,0.12
373.383,0.07,373.383,0.09,373.383,0.1
373.635,0.1,373.635,0.12,373.635,0.12
373.887,0.12,373.887,0.14,373.887,0.13
374.138,0.1,374.138,0.12,374.138,0.12
374.39,0.11,374.39,0.14,374.39,0.14
374.642,0.11,374.642,0.16,374.642,0.16
374.894,0.09,374.894,0.13,374.894,0.14
375.146,0.1,375.146,0.15,375.146,0.18
375.398,0.09,375.398,0.15,375.398,0.14
375.65,0.07,375.65,0.13,375.65,0.14
375.902,0.07,375.902,0.12,375.902,0.13
376.154,0.08,376.154,0.09,376.154,0.12
376.405,0.06,376.405,0.09,376.405,0.11
376.657,0.05,376.657,0.09,376.657,0.11
376.909,0.04,376.909,0.08,376.909,0.11
377.161,0.06,377.161,0.09,377.161,0.12
377.412,0.06,377.412,0.07,377.412,0.12
377.664,0.05,377.664,0.07,377.664,0.09
377.916,0.04,377.916,0.06,377.916,0.1
378.167,0.05,378.167,0.08,378.167,0.13
378.419,0.05,378.419,0.09,378.419,0.14
378.671,0.07,378.671,0.08,378.671,0.16
378.922,0.08,378.922,0.11,378.922,0.17
